"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","188","cy.clearCookie() - clear a browser cookie","Cookies","2026-02-08","passed","2026-02-08","","","",""
"","250","can delete all completed tasks","example to-do app","2026-02-08","passed","2026-02-08","","with a checked task","",""
"","79","assert - assert shape of an object","Assertions","2026-02-08","passed","2026-02-08","","Explicit Assertions","",""
"","92",".eq() - get a DOM element at a specific index","Traversal","2026-02-08","passed","2026-02-08","","","",""
"","104","Get and set configuration options","Cypress APIs","2026-02-08","passed","2026-02-08","","Cypress.config()","",""
"","88","matches unknown text between two elements","Assertions","2026-02-08","passed","2026-02-08","","Explicit Assertions","",""
"","197","cy.getCookies() - get browser cookies for the current domain","Cookies","2026-02-08","passed","2026-02-08","","","",""
"","88","Get environment variables","Cypress APIs","2026-02-08","passed","2026-02-08","","Cypress.env()","",""
"","266","Cypress._ - call a lodash method","Utilities","2026-02-08","passed","2026-02-08","","","",""
"","79","cy.stub() - create a stub and/or replace a function with stub","Spies, Stubs, and Clock","2026-02-08","passed","2026-02-08","","","",""
"","132","cy.getAllCookies() - get all browser cookies","Cookies","2026-02-08","passed","2026-02-08","","","",""
"","109",".and() - chain multiple assertions together","Assertions","2026-02-08","passed","2026-02-08","","Implicit Assertions","",""
"","364",".submit() - submit a form","Actions","2026-02-08","passed","2026-02-08","","","",""
"","451","cy.clearLocalStorage() - clear all data in localStorage for the current origin","Local Storage / Session Storage","2026-02-08","passed","2026-02-08","","","",""
"","93",".its() - get properties on the current subject","Connectors","2026-02-08","passed","2026-02-08","","","",""
"","201",".each() - iterate over an array of elements","Connectors","2026-02-08","passed","2026-02-08","","","",""
"","862","cy.screenshot() - take a screenshot","Misc","2026-02-08","passed","2026-02-08","","Cypress.Screenshot","",""
"","74","cy.url() - get the current URL","Location","2026-02-08","passed","2026-02-08","","","",""
"","383","cy.request() - save response in the shared test context","Network Requests","2026-02-08","passed","2026-02-08","","","",""
"","2147","cy.scrollTo() - scroll the window or element to a position","Actions","2026-02-08","passed","2026-02-08","","","",""
"","366",".blur() - blur off a DOM element","Actions","2026-02-08","passed","2026-02-08","","","",""
"","90",".first() - get first DOM element","Traversal","2026-02-08","passed","2026-02-08","","","",""
"","113",".debug() - enable or disable debugging","Cypress APIs","2026-02-08","passed","2026-02-08","","Cypress.Cookies","",""
"","247","can filter for completed tasks","example to-do app","2026-02-08","passed","2026-02-08","","with a checked task","",""
"","92","pass your own callback function to should()","Assertions","2026-02-08","passed","2026-02-08","","Explicit Assertions","",""
"","261","can filter for uncompleted tasks","example to-do app","2026-02-08","passed","2026-02-08","","with a checked task","",""
"","100","cy.location() - get window.location","Location","2026-02-08","passed","2026-02-08","","","",""
